page_id,name,page_created,page_type,count,fb,wel_opens,wel_clicks,wel_acts,opens_14day,clicks_14day,acts_14day,num_donations_14day,amt_donations_14day,num_recur_14day,amt_recur_14day,usa,can,uk,aus,nz,nuk_eur,row,en,de,fr,acts_90day,num_donations_90day,amt_donations_90day
10392,yvonne-d-arcy-merci,2015-11-03 09:36:54,Petition,63,21,40,24,27,42,26,59,"","","","",3,8,0,0,0,48,4,6,0,57,140,"",""
10363,Heckler-und-Koch-verklagt-Bundesregierung-de,2015-10-30 16:31:01,Petition,4519,2597,2746,1538,1441,6258,2964,3531,1,12.04,"","",17,2,5,5,0,4479,11,615,3890,14,7292,5,29.64
10362,Aus-TPP-Senate,2015-10-30 16:09:05,Petition,333,211,272,65,80,441,113,184,6,24.51,"","",2,0,0,331,0,0,0,333,0,0,337,15,155.94
10355,monsanto-glyphosate-in-tampons,2015-10-29 20:11:32,Petition,55,40,47,10,8,87,15,25,"","","","",23,2,7,8,5,6,4,55,0,0,32,"",""
10342,suncor-voyager-south,2015-10-28 23:07:29,Petition,55,27,35,6,16,75,17,42,"","","","",3,52,0,0,0,0,0,55,0,0,73,"",""
10337,Mineraloel-im-Essen-de,2015-10-28 15:08:48,Petition,91,63,16,19,21,68,51,82,"","","","",0,0,0,0,0,91,0,9,82,0,219,"",""
10280,mcdonalds-cheating-beneficiaries,2015-10-22 16:54:30,Petition,177,127,122,34,37,236,65,93,1,2.65,"","",2,0,1,12,161,1,0,177,0,0,123,4,8.54
10215,Monsanto-verklagt-Vermont,2015-10-19 12:37:40,Petition,69,37,23,21,21,73,49,76,"","","","",0,0,0,0,0,69,0,8,61,0,132,"",""
10117,yvonne-darcy-thank-you,2015-10-16 21:54:41,Petition,704,271,486,115,211,837,184,522,7,126.59,"","",131,128,153,149,18,93,32,700,1,3,689,24,229.76
9553,carmichael-reapproved,2015-10-15 14:37:40,Petition,249,234,202,42,57,434,78,97,1,20.45,"","",3,1,0,237,0,5,3,249,0,0,200,11,93.94
9043,predatory-prison-phones,2015-10-14 23:35:09,Petition,2247,1242,1208,210,323,2253,365,1015,2,28.00,"","",2207,7,5,6,0,6,16,2247,0,0,1276,17,110.50
9020,canada-voting-number,2015-10-14 12:31:45,Petition,180,180,130,28,57,219,40,67,"","","","",0,180,0,0,0,0,0,180,0,0,37,1,3.75
9019,Kinderarbeit-fuer-Nestle-de,2015-10-14 12:17:19,Petition,9753,7837,3620,1654,1563,9468,3433,3976,"","","","",38,5,23,13,3,9585,86,1244,8489,20,11195,"",""
8996,merck-blood-farms-french,2015-10-12 18:02:55,Petition,17519,14404,7575,3223,3648,13189,4949,6731,"","","","",45,730,19,10,5,16374,336,1350,15,16154,12562,7,48.09
